portal,title,description,url,datetime
globo,Jovem que sonha em ser cientista viaja 600 km com a mãe para prestar Vestibular da Unicamp,Comvest aplica provas da segunda fase do Vestibular Unicamp neste domingo (1º) e segunda-feira (2).,https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/12/01/jovem-que-sonha-em-ser-cientista-viaja-600-km-com-a-mae-para-prestar-vestibular-da-unicamp.ghtml,2024-12-01 13:37:14+00:00
globo,"Filha de monitora sonha cursar pedagogia na Unicamp inspirada na mãe: ‘ela é uma mulher forte, nunca desistiu de nada’","Na preparação, estudante conciliou trabalho e estudos e contou com ajuda da psicóloga para controlar a ansiedade. Comvest aplica provas da segunda fase do Vestibular Unicamp neste domingo (1º) e segunda-feira (2).",https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/12/01/candidata-pela-3a-vez-jovem-sonha-com-unicamp-e-diz-se-inspirar-na-mae-ela-e-uma-mulher-forte-nunca-desistiu-de-nada.ghtml,2024-12-01 11:27:41+00:00
globo,Unicamp 2025: 13 mil candidatos fazem a segunda fase do vestibular a partir deste domingo,Provas também ocorrem na segunda-feira (2). Candidatos concorrem a 2.537 vagas em 69 cursos de graduação.,https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/12/01/unicamp-2025-13-mil-candidatos-fazem-a-segunda-fase-do-vestibular-a-partir-deste-domingo.ghtml,2024-12-01 07:00:46+00:00
globo,Vestibular UFRGS 2025: confira tudo que você precisa saber sobre o fim de semana de provas,Mais de 21 mil candidatos concorrem a 4 mil vagas na universidade. Provas acontecem em seis cidades. ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2024/11/30/vestibular-ufrgs-2025-confira-tudo-que-voce-precisa-saber-sobre-o-fim-de-semana-de-provas.ghtml,2024-11-30 08:00:14+00:00
globo,"Corte de gastos: Educação perde R$ 42,3 bilhões até 2030; alvo são verbas para ensino integral","Proposta libera no orçamento do MEC recursos hoje 'carimbados' para educação integral. Missão seria transferida para o Fundeb, que também custeia salários e obras; ONG vê risco.",https://g1.globo.com/economia/noticia/2024/11/29/corte-de-gastos-educacao-perde-r-423-bilhoes-ate-2030-alvo-sao-verbas-para-ensino-integral.ghtml,2024-11-29 11:55:27+00:00
globo,Austrália aprova proibição de redes sociais para menores de 16 anos; decisão é inédita no mundo,"Câmara ainda deve aprovar alterações feitas no Senado, mas o texto deve ser sancionado. Plataformas que descumprirem a lei serão multadas em quase R$ 200 milhões. ",https://g1.globo.com/educacao/noticia/2024/11/28/australia-aprova-proibicao-de-redes-sociais-para-menores-de-16-anos.ghtml,2024-11-28 12:40:14+00:00
globo,Todos os adolescentes são viciados em redes sociais?,"O uso da internet e do telefone é massivo e normativo entre os mais jovens. Apesar disso, os autores preferem falar em uso problemático, em vez de dependência.",https://g1.globo.com/educacao/noticia/2024/11/28/todos-os-adolescentes-sao-viciados-em-redes-sociais.ghtml,2024-11-28 07:30:55+00:00
globo,Por que pais nem sempre devem estar 'em sintonia' com os filhos,"Descobertas recentes de cientistas mostram que pais e mães não precisam estar 'em sintonia' com seus filhos todo o tempo, a todo custo.",https://g1.globo.com/educacao/noticia/2024/11/28/por-que-pais-nem-sempre-devem-estar-em-sintonia-com-os-filhos.ghtml,2024-11-28 05:30:14+00:00
globo,Festival LED Belém,"Pela primeira vez, festival foi realizado no Norte do país e reuniu mais de 25 especialistas em 5 palestras para debater como democratizar a educação no Brasil.",https://g1.globo.com/educacao/ao-vivo/festival-led-belem.ghtml,2024-11-28 01:58:09+00:00
globo,Festival LED Belém: Mesa do g1 debate sobre informação e consumo de notícias; veja íntegra,"Encontro ocorreu no Anfiteatro da Estação das Docas, em Belém, com professores e jornalistas.  ",https://g1.globo.com/pa/para/noticia/2024/11/27/festival-led-belem-mesa-do-g1-discute-como-consumir-noticias-de-forma-mais-critica-reveja-em-video.ghtml,2024-11-28 01:48:42+00:00
