,titulos,description,datas,portal
17,Caso Gritzbach: Delegado denunciado chefiou investigadores presos,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:00:51,https://noticias.uol.com.br/colunas/josmar-jozino/2024/12/02/caso-gritbach-delegado-delatado-chefiou-dois-investigadores-presos-pela-pf.htm
18,UOL Notícias | Notícias do Dia no Brasil e no Mundo,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:00:23,https://noticias.uol.com.br/newsletters/novos-posts/carlos-madeiro/2024/12/02/guerra-quimica-ataques-com-agrotoxicos-crescem-quase-10x-no-ano-diz-cpt.htm
19,"Ataques com agrotóxicos crescem quase 10x no ano, diz CPT","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:00:00,https://noticias.uol.com.br/colunas/carlos-madeiro/2024/12/02/guerra-quimica-ataques-com-agrotoxicos-crescem-quase-10x-no-ano-diz-cpt.htm
20,Tumulto em partida de futebol na Guiné deixa 56 mortos,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:59:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/tumulto-em-partida-de-futebol-na-guine-deixa-56-mortos.htm
21,"Homem morre esfaqueado em Perdizes, área nobre de São Paulo",Caso aconteceu na manhã desta segunda-feira (2) em rua de Perdizes,2024-12-02 11:55:53,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2024/12/02/morte-homem-perdizes-sp.htm
22,Justiça de Goiás permite que BB retenha recebíveis da AgroGalaxy,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:50:08,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/justica-de-goias-permite-que-bb-retenha-recebiveis-da-agrogalaxy.htm
23,Dia Internacional para Abolição da Escravidão enfatiza 50 milhões de vítimas,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:49:11,https://noticias.uol.com.br/ultimas-noticias/onu-news/2024/12/02/dia-internacional-para-abolicao-da-escravidao-enfatiza-50-milhoes-de-vitimas.htm
24,Chanceler alemão promete ajuda militar de US$685 mi a Kiev em meio a turbulência interna,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:44:09,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/chanceler-alemao-promete-ajuda-militar-de-us685-mi-a-kiev-em-meio-a-turbulencia-interna.htm
25,"Secas de longa duração serão a 'nova normalidade' climática, alerta ONU","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:39:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/secas-de-longa-duracao-serao-a-nova-normalidade-climatica-alerta-onu.htm
26,"Ucrânia deve encontrar soluções diplomáticas para retomar território ocupado, diz Zelenskiy à Kyodo News","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 11:34:49,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/ucrania-deve-encontrar-solucoes-diplomaticas-para-retomar-territorio-ocupado-diz-zelenskiy-a-kyodo-news.htm
